1/27/2021 1 "Inspector General's follow-up to audit of Chicago Department of Health's air pollution enforcement" "air pollution"
12/16/2020 1 "Amendment of Municipal Code Chapter 11-4 by modifying Sections 11-4-120, 11-4-810 and 11-4-2200 to increase fines and penalties for certain violations of air pollution and emission standards" "air pollution"
9/18/2019 1 "Inspector General's Audit of Department of Public Health Air Pollution Enforcement" "air pollution"
4/13/2011 1 "Call for hearing(s) on diesel air pollution at Metra train stations" "air pollution"
