Name,Type of Parliamentarian,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation
"Uppal, Tim","MP (2019/10/21 - )
MP (2008/10/14 - 2015/10/18)
","Edmonton Mill Woods (2019/10/21 - )
Edmonton--Sherwood Park (2008/10/14 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2019/10/21 - )
Conservative Party of Canada (2008/10/14 - 2015/10/18)
"
"DeBellefeuille, Claude","MP (2019/10/21 - )
MP (2006/01/23 - 2011/05/01)
","Salaberry--Suroît (2019/10/21 - )
Beauharnois--Salaberry (2006/01/23 - 2011/05/01)
","Quebec
Quebec
",F,"Bloc Québécois (2019/10/21 - )
Bloc Québécois (2006/01/23 - 2011/05/01)
"
"Moore, Rob","MP (2019/10/21 - )
MP (2004/09/01 - 2015/10/18)
MP (2004/06/28 - 2004/08/31)
","Fundy Royal (2019/10/21 - )
Fundy Royal (2004/09/01 - 2015/10/18)
Fundy (2004/06/28 - 2004/08/31)
","New Brunswick
New Brunswick
New Brunswick
",M,"Conservative Party of Canada (2019/10/21 - )
Conservative Party of Canada (2004/06/28 - 2015/10/18)
"
"Bergeron, Stéphane","MP (2019/10/21 - )
MP (1998/06/18 - 2005/11/09)
MP (1993/10/25 - 1998/06/17)
","Montarville (2019/10/21 - )
Verchères--Les Patriotes (1998/06/18 - 2005/11/09)
Verchères (1993/10/25 - 1998/06/17)
","Quebec
Quebec
Quebec
",M,"Bloc Québécois (2019/10/21 - )
Bloc Québécois (1993/10/25 - 2005/11/09)
"
"Aitchison, Scott","MP (2019/10/21 - )
","Parry Sound--Muskoka (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Anand, Anita","MP (2019/10/21 - )
","Oakville (2019/10/21 - )
","Ontario
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Atwin, Jenica","MP (2019/10/21 - )
","Fredericton (2019/10/21 - )
","New Brunswick
",F,"Liberal Party of Canada (2021/06/10 - )
Green Party of Canada (2019/10/21 - 2021/06/09)
"
"Bachrach, Taylor","MP (2019/10/21 - )
","Skeena--Bulkley Valley (2019/10/21 - )
","British Columbia
",M,"New Democratic Party (2019/10/21 - )
"
"Baker, Yvan","MP (2019/10/21 - )
","Etobicoke Centre (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Baldinelli, Tony","MP (2019/10/21 - )
","Niagara Falls (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Battiste, Jaime","MP (2019/10/21 - )
","Sydney--Victoria (2019/10/21 - )
","Nova Scotia
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Bérubé, Sylvie","MP (2019/10/21 - )
","Abitibi--Baie-James--Nunavik--Eeyou (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Bessette, Lyne","MP (2019/10/21 - )
","Brome--Missisquoi (2019/10/21 - )
","Quebec
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Blanchet, Yves-François","MP (2019/10/21 - )
","Beloeil--Chambly (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Blanchette-Joncas, Maxime","MP (2019/10/21 - )
","Rimouski-Neigette--Témiscouata--Les Basques (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Blois, Kody","MP (2019/10/21 - )
","Kings--Hants (2019/10/21 - )
","Nova Scotia
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Bragdon, Richard","MP (2019/10/21 - )
","Tobique--Mactaquac (2019/10/21 - )
","New Brunswick
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Brière, Élisabeth","MP (2019/10/21 - )
","Sherbrooke (2019/10/21 - )
","Quebec
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Brunelle-Duceppe, Alexis","MP (2019/10/21 - )
","Lac-Saint-Jean (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Chabot, Louise","MP (2019/10/21 - )
","Thérèse-De Blainville (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Champoux, Martin","MP (2019/10/21 - )
","Drummond (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Charbonneau, Louise","MP (2019/10/21 - )
","Trois-Rivières (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Chiu, Kenny","MP (2019/10/21 - )
","Steveston--Richmond East (2019/10/21 - )
","British Columbia
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Collins, Laurel","MP (2019/10/21 - )
","Victoria (2019/10/21 - )
","British Columbia
",F,"New Democratic Party (2019/10/21 - )
"
"Cumming, James","MP (2019/10/21 - )
","Edmonton Centre (2019/10/21 - )
","Alberta
",M,"Conservative Party of Canada (2019/10/21 - )
"
"d'Entremont, Chris","MP (2019/10/21 - )
","West Nova (2019/10/21 - )
","Nova Scotia
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Dalton, Marc","MP (2019/10/21 - )
","Pitt Meadows--Maple Ridge (2019/10/21 - )
","British Columbia
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Dancho, Raquel","MP (2019/10/21 - )
","Kildonan--St. Paul (2019/10/21 - )
","Manitoba
",F,"Conservative Party of Canada (2019/10/21 - )
"
"Desbiens, Caroline","MP (2019/10/21 - )
","Beauport--Côte-de-Beaupré--Île D’Orléans--Charlevoix (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Desilets, Luc","MP (2019/10/21 - )
","Rivière-des-Mille-Îles (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Dong, Han","MP (2019/10/21 - )
","Don Valley North (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Dowdall, Terry","MP (2019/10/21 - )
","Simcoe--Grey (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Duncan, Eric","MP (2019/10/21 - )
","Stormont--Dundas--South Glengarry (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Epp, Dave","MP (2019/10/21 - )
","Chatham-Kent--Leamington (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Gaudreau, Marie-Hélène","MP (2019/10/21 - )
","Laurentides--Labelle (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Gazan, Leah","MP (2019/10/21 - )
","Winnipeg Centre (2019/10/21 - )
","Manitoba
",F,"New Democratic Party (2019/10/21 - )
"
"Gray, Tracy","MP (2019/10/21 - )
","Kelowna--Lake Country (2019/10/21 - )
","British Columbia
",F,"Conservative Party of Canada (2019/10/21 - )
"
"Green, Matthew","MP (2019/10/21 - )
","Hamilton Centre (2019/10/21 - )
","Ontario
",M,"New Democratic Party (2019/10/21 - )
"
"Guilbeault, Steven","MP (2019/10/21 - )
","Laurier--Sainte-Marie (2019/10/21 - )
","Quebec
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Hallan, Jasraj Singh","MP (2019/10/21 - )
","Calgary Forest Lawn (2019/10/21 - )
","Alberta
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Jaczek, Helena","MP (2019/10/21 - )
","Markham--Stouffville (2019/10/21 - )
","Ontario
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Jansen, Tamara","MP (2019/10/21 - )
","Cloverdale--Langley City (2019/10/21 - )
","British Columbia
",F,"Conservative Party of Canada (2019/10/21 - )
"
"Kelloway, Mike","MP (2019/10/21 - )
","Cape Breton--Canso (2019/10/21 - )
","Nova Scotia
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Koutrakis, Annie","MP (2019/10/21 - )
","Vimy (2019/10/21 - )
","Quebec
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Kram, Michael","MP (2019/10/21 - )
","Regina--Wascana (2019/10/21 - )
","Saskatchewan
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Kurek, Damien C.","MP (2019/10/21 - )
","Battle River--Crowfoot (2019/10/21 - )
","Alberta
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Kusmierczyk, Irek","MP (2019/10/21 - )
","Windsor--Tecumseh (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Lalonde, Marie-France","MP (2019/10/21 - )
","Orléans (2019/10/21 - )
","Ontario
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Larouche, Andréanne","MP (2019/10/21 - )
","Shefford (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Lattanzio, Patricia","MP (2019/10/21 - )
","Saint-Léonard--Saint-Michel (2019/10/21 - )
","Quebec
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Lawrence, Philip","MP (2019/10/21 - )
","Northumberland--Peterborough South (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Lehoux, Richard","MP (2019/10/21 - )
","Beauce (2019/10/21 - )
","Quebec
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Lemire, Sébastien","MP (2019/10/21 - )
","Abitibi--Témiscamingue (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Lewis, Chris","MP (2019/10/21 - )
","Essex (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Louis, Tim","MP (2019/10/21 - )
","Kitchener--Conestoga (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Martinez Ferrada, Soraya","MP (2019/10/21 - )
","Hochelaga (2019/10/21 - )
","Quebec
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Mathyssen, Lindsay","MP (2019/10/21 - )
","London--Fanshawe (2019/10/21 - )
","Ontario
",F,"New Democratic Party (2019/10/21 - )
"
"Mazier, Dan","MP (2019/10/21 - )
","Dauphin--Swan River--Neepawa (2019/10/21 - )
","Manitoba
",M,"Conservative Party of Canada (2019/10/21 - )
"
"McLean, Greg","MP (2019/10/21 - )
","Calgary Centre (2019/10/21 - )
","Alberta
",M,"Conservative Party of Canada (2019/10/21 - )
"
"McPherson, Heather","MP (2019/10/21 - )
","Edmonton Strathcona (2019/10/21 - )
","Alberta
",F,"New Democratic Party (2019/10/21 - )
"
"Melillo, Eric","MP (2019/10/21 - )
","Kenora (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Michaud, Kristina","MP (2019/10/21 - )
","Avignon--La Mitis--Matane--Matapédia (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Morantz, Marty","MP (2019/10/21 - )
","Charleswood--St. James--Assiniboia--Headingley (2019/10/21 - )
","Manitoba
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Morrison, Rob","MP (2019/10/21 - )
","Kootenay--Columbia (2019/10/21 - )
","British Columbia
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Normandin, Christine","MP (2019/10/21 - )
","Saint-Jean (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Patzer, Jeremy","MP (2019/10/21 - )
","Cypress Hills--Grasslands (2019/10/21 - )
","Saskatchewan
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Perron, Yves","MP (2019/10/21 - )
","Berthier--Maskinongé (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Powlowski, Marcus","MP (2019/10/21 - )
","Thunder Bay--Rainy River (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Qaqqaq, Mumilaaq","MP (2019/10/21 - )
","Nunavut (2019/10/21 - )
","Nunavut
",F,"New Democratic Party (2019/10/21 - )
"
"Redekopp, Brad","MP (2019/10/21 - )
","Saskatoon West (2019/10/21 - )
","Saskatchewan
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Rood, Lianne","MP (2019/10/21 - )
","Lambton--Kent--Middlesex (2019/10/21 - )
","Ontario
",F,"Conservative Party of Canada (2019/10/21 - )
"
"Ruff, Alex","MP (2019/10/21 - )
","Bruce--Grey--Owen Sound (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Sahota, Jag","MP (2019/10/21 - )
","Calgary Skyview (2019/10/21 - )
","Alberta
",F,"Conservative Party of Canada (2019/10/21 - )
"
"Savard-Tremblay, Simon-Pierre","MP (2019/10/21 - )
","Saint-Hyacinthe--Bagot (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Shin, Nelly","MP (2019/10/21 - )
","Port Moody--Coquitlam (2019/10/21 - )
","British Columbia
",F,"Conservative Party of Canada (2019/10/21 - )
"
"Shipley, Doug","MP (2019/10/21 - )
","Barrie--Springwater--Oro-Medonte (2019/10/21 - )
","Ontario
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Sidhu, Maninder","MP (2019/10/21 - )
","Brampton East (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Simard, Mario","MP (2019/10/21 - )
","Jonquière (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Sloan, Derek","MP (2019/10/21 - )
","Hastings--Lennox and Addington (2019/10/21 - )
","Ontario
",M,"Independent (2021/01/20 - )
Conservative Party of Canada (2019/10/21 - )
"
"Soroka, Gerald","MP (2019/10/21 - )
","Yellowhead (2019/10/21 - )
","Alberta
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Steinley, Warren","MP (2019/10/21 - )
","Regina--Lewvan (2019/10/21 - )
","Saskatchewan
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Therrien, Alain","MP (2019/10/21 - )
","La Prairie (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Tochor, Corey","MP (2019/10/21 - )
","Saskatoon--University (2019/10/21 - )
","Saskatchewan
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Trudel, Denis","MP (2019/10/21 - )
","Longueuil--Saint-Hubert (2019/10/21 - )
","Quebec
",M,"Bloc Québécois (2019/10/21 - )
"
"Turnbull, Ryan","MP (2019/10/21 - )
","Whitby (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Van Bynen, Tony","MP (2019/10/21 - )
","Newmarket--Aurora (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"van Koeverden, Adam","MP (2019/10/21 - )
","Milton (2019/10/21 - )
","Ontario
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Van Popta, Tako","MP (2019/10/21 - )
","Langley--Aldergrove (2019/10/21 - )
","British Columbia
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Vidal, Gary","MP (2019/10/21 - )
","Desnethé--Missinippi--Churchill River (2019/10/21 - )
","Saskatchewan
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Vignola, Julie","MP (2019/10/21 - )
","Beauport--Limoilou (2019/10/21 - )
","Quebec
",F,"Bloc Québécois (2019/10/21 - )
"
"Vis, Brad","MP (2019/10/21 - )
","Mission--Matsqui--Fraser Canyon (2019/10/21 - )
","British Columbia
",M,"Conservative Party of Canada (2019/10/21 - )
"
"Weiler, Patrick","MP (2019/10/21 - )
","West Vancouver--Sunshine Coast--Sea to Sky Country (2019/10/21 - )
","British Columbia
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Zann, Lenore","MP (2019/10/21 - )
","Cumberland--Colchester (2019/10/21 - )
","Nova Scotia
",F,"Liberal Party of Canada (2019/10/21 - )
"
"Zuberi, Sameer","MP (2019/10/21 - )
","Pierrefonds--Dollard (2019/10/21 - )
","Quebec
",M,"Liberal Party of Canada (2019/10/21 - )
"
"Manly, Paul","MP (2019/05/06 - )
","Nanaimo--Ladysmith (2019/05/06 - )
","British Columbia
",M,"Green Party of Canada (2019/05/06 - )
"
"Bendayan, Rachel","MP (2019/02/25 - )
","Outremont (2019/02/25 - )
","Quebec
",F,"Liberal Party of Canada (2019/02/25 - )
"
"Davidson, Scot","MP (2019/02/25 - )
","York--Simcoe (2019/02/25 - )
","Ontario
",M,"Conservative Party of Canada (2019/02/25 - )
"
"Singh, Jagmeet","MP (2019/02/25 - )
","Burnaby South (2019/02/25 - )
","British Columbia
",M,"New Democratic Party (2019/02/25 - )
"
"Barrett, Michael","MP (2018/12/03 - )
","Leeds--Grenville--Thousand Islands and Rideau Lakes (2018/12/03 - )
","Ontario
",M,"Conservative Party of Canada (2018/12/03 - )
"
"Martel, Richard","MP (2018/06/18 - )
","Chicoutimi--Le Fjord (2018/06/18 - )
","Quebec
",M,"Conservative Party of Canada (2018/06/18 - )
"
"Falk, Rosemarie","MP (2017/12/11 - )
","Battlefords--Lloydminster (2017/12/11 - )
","Saskatchewan
",F,"Conservative Party of Canada (2017/12/11 - )
"
"Rogers, Churence","MP (2017/12/11 - )
","Bonavista--Burin--Trinity (2017/12/11 - )
","Newfoundland and Labrador
",M,"Liberal Party of Canada (2017/12/11 - )
"
"Yip, Jean","MP (2017/12/11 - )
","Scarborough--Agincourt (2017/12/11 - )
","Ontario
",F,"Liberal Party of Canada (2017/12/11 - )
"
"Lloyd, Dane","MP (2017/10/23 - )
","Sturgeon River--Parkland (2017/10/23 - )
","Alberta
",M,"Conservative Party of Canada (2017/10/23 - )
"
"Benzen, Bob","MP (2017/04/03 - )
","Calgary Heritage (2017/04/03 - )
","Alberta
",M,"Conservative Party of Canada (2017/04/03 - )
"
"Fortier, Mona","MP (2017/04/03 - )
","Ottawa--Vanier (2017/04/03 - )
","Ontario
",F,"Liberal Party of Canada (2017/04/03 - )
"
"Kusie, Stephanie","MP (2017/04/03 - )
","Calgary Midnapore (2017/04/03 - )
","Alberta
",F,"Conservative Party of Canada (2017/04/03 - )
"
"Lambropoulos, Emmanuella","MP (2017/04/03 - )
","Saint-Laurent (2017/04/03 - )
","Quebec
",F,"Liberal Party of Canada (2017/04/03 - )
"
"Ng, Mary","MP (2017/04/03 - )
","Markham--Thornhill (2017/04/03 - )
","Ontario
",F,"Liberal Party of Canada (2017/04/03 - )
"
"Motz, Glen","MP (2016/10/24 - )
","Medicine Hat--Cardston--Warner (2016/10/24 - )
","Alberta
",M,"Conservative Party of Canada (2016/10/24 - )
"
"Levitt, Michael","MP (2015/10/19 - 2020/09/01)
","York Centre (2015/10/19 - 2020/09/01)
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - 2020/09/01)
"
"Morneau, Bill","MP (2015/10/19 - 2020/08/21)
","Toronto Centre (2015/10/19 - 2020/08/21)
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - 2020/08/21)
"
"Barlow, John","MP (2015/10/19 - )
MP (2014/06/30 - 2015/10/18)
","Foothills (2015/10/19 - )
Macleod (2014/06/30 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2014/06/30 - )
"
"Vaughan, Adam","MP (2015/10/19 - )
MP (2014/06/30 - 2015/10/18)
","Spadina--Fort York (2015/10/19 - )
Trinity--Spadina (2014/06/30 - 2015/10/18)
","Ontario
Ontario
",M,"Liberal Party of Canada (2014/06/30 - )
"
"Yurdiga, David","MP (2015/10/19 - )
MP (2014/06/30 - 2015/10/18)
","Fort McMurray--Cold Lake (2015/10/19 - )
Fort McMurray--Athabasca (2014/06/30 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2014/06/30 - )
"
"Freeland, Chrystia","MP (2015/10/19 - )
MP (2013/11/25 - 2015/10/18)
","University--Rosedale (2015/10/19 - )
Toronto Centre (2013/11/25 - 2015/10/18)
","Ontario
Ontario
",F,"Liberal Party of Canada (2013/11/25 - )
"
"Albas, Dan","MP (2015/10/19 - )
MP (2011/05/02 - 2015/10/18)
","Central Okanagan--Similkameen--Nicola (2015/10/19 - )
Okanagan--Coquihalla (2011/05/02 - 2015/10/18)
","British Columbia
British Columbia
",M,"Conservative Party of Canada (2011/05/02 - )
"
"Garrison, Randall","MP (2015/10/19 - )
MP (2011/05/02 - 2015/10/18)
","Esquimalt--Saanich--Sooke (2015/10/19 - )
Esquimalt--Juan de Fuca (2011/05/02 - 2015/10/18)
","British Columbia
British Columbia
",M,"New Democratic Party (2011/05/02 - )
"
"Rempel Garner, Michelle","MP (2015/10/19 - )
MP (2011/05/02 - 2015/10/18)
","Calgary Nose Hill (2015/10/19 - )
Calgary Centre-North (2011/05/02 - 2015/10/18)
","Alberta
Alberta
",F,"Conservative Party of Canada (2011/05/02 - )
"
"Strahl, Mark","MP (2015/10/19 - )
MP (2011/05/02 - 2015/10/18)
","Chilliwack--Hope (2015/10/19 - )
Chilliwack--Fraser Canyon (2011/05/02 - 2015/10/18)
","British Columbia
British Columbia
",M,"Conservative Party of Canada (2011/05/02 - )
"
"Zimmer, Bob","MP (2015/10/19 - )
MP (2011/05/02 - 2015/10/18)
","Prince George--Peace River--Northern Rockies (2015/10/19 - )
Prince George--Peace River (2011/05/02 - 2015/10/18)
","British Columbia
British Columbia
",M,"Conservative Party of Canada (2011/05/02 - )
"
"Généreux, Bernard","MP (2015/10/19 - )
MP (2009/11/09 - 2011/05/01)
","Montmagny--L’Islet--Kamouraska--Rivière-du-Loup (2015/10/19 - )
Montmagny--L’Islet--Kamouraska--Rivière-du-Loup (2009/11/09 - 2011/05/01)
","Quebec
Quebec
",M,"Conservative Party of Canada (2015/10/19 - )
Conservative Party of Canada (2009/11/09 - 2011/05/01)
"
"Ashton, Niki","MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","Churchill--Keewatinook Aski (2015/10/19 - )
Churchill (2008/10/14 - 2015/10/18)
","Manitoba
Manitoba
",F,"New Democratic Party (2008/10/14 - )
"
"Block, Kelly","MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","Carlton Trail--Eagle Creek (2015/10/19 - )
Saskatoon--Rosetown--Biggar (2008/10/14 - 2015/10/18)
","Saskatchewan
Saskatchewan
",F,"Conservative Party of Canada (2008/10/14 - )
"
"Dreeshen, Earl","MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","Red Deer--Mountain View (2015/10/19 - )
Red Deer (2008/10/14 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2008/10/14 - )
"
"Garneau, Marc","MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","Notre-Dame-de-Grâce--Westmount (2015/10/19 - )
Westmount--Ville-Marie (2008/10/14 - 2015/10/18)
","Quebec
Quebec
",M,"Liberal Party of Canada (2008/10/14 - )
"
"McColeman, Phil","MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","Brantford--Brant (2015/10/19 - )
Brant (2008/10/14 - 2015/10/18)
","Ontario
Ontario
",M,"Conservative Party of Canada (2008/10/14 - )
"
"Richards, Blake","MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","Banff--Airdrie (2015/10/19 - )
Wild Rose (2008/10/14 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2008/10/14 - )
"
"Wong, Alice","MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","Richmond Centre (2015/10/19 - )
Richmond (2008/10/14 - 2015/10/18)
","British Columbia
British Columbia
",F,"Conservative Party of Canada (2008/10/14 - )
"
"Mendès, Alexandra","MP (2015/10/19 - )
MP (2008/10/14 - 2011/05/01)
","Brossard--Saint-Lambert (2015/10/19 - )
Brossard--La Prairie (2008/10/14 - 2011/05/01)
","Quebec
Quebec
",F,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2008/10/14 - 2011/05/01)
"
"Oliphant, Robert","MP (2015/10/19 - )
MP (2008/10/14 - 2011/05/01)
","Don Valley West (2015/10/19 - )
Don Valley West (2008/10/14 - 2011/05/01)
","Ontario
Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2008/10/14 - 2011/05/01)
"
"Blaney, Steven","MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)
","Bellechasse--Les Etchemins--Lévis (2015/10/19 - )
Lévis--Bellechasse (2006/01/23 - 2015/10/18)
","Quebec
Quebec
",M,"Conservative Party of Canada (2006/01/23 - )
"
"Calkins, Blaine","MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)
","Red Deer--Lacombe (2015/10/19 - )
Wetaskiwin (2006/01/23 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2006/01/23 - )
"
"Gourde, Jacques","MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)
","Lévis--Lotbinière (2015/10/19 - )
Lotbinière--Chutes-de-la-Chaudière (2006/01/23 - 2015/10/18)
","Quebec
Quebec
",M,"Conservative Party of Canada (2006/01/23 - )
"
"Lake, Mike","MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)
","Edmonton--Wetaskiwin (2015/10/19 - )
Edmonton--Mill Woods--Beaumont (2006/01/23 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2006/01/23 - )
"
"Sweet, David","MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)
","Flamborough--Glanbrook (2015/10/19 - )
Ancaster--Dundas--Flamborough--Westdale (2006/01/23 - 2015/10/18)
","Ontario
Ontario
",M,"Conservative Party of Canada (2006/01/23 - )
"
"Warkentin, Chris","MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)
","Grande Prairie--Mackenzie (2015/10/19 - )
Peace River (2006/01/23 - 2015/10/18)
","Alberta
Alberta
",M,"Conservative Party of Canada (2006/01/23 - )
"
"Dhaliwal, Sukh","MP (2015/10/19 - )
MP (2006/01/23 - 2011/05/01)
","Surrey--Newton (2015/10/19 - )
Newton--North Delta (2006/01/23 - 2011/05/01)
","British Columbia
British Columbia
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2006/01/23 - 2011/05/01)
"
"Alghabra, Omar","MP (2015/10/19 - )
MP (2006/01/23 - 2008/10/13)
","Mississauga Centre (2015/10/19 - )
Mississauga--Erindale (2006/01/23 - 2008/10/13)
","Ontario
Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2006/01/23 - 2008/10/13)
"
"Plamondon, Louis","MP (2015/10/19 - )
MP (2004/09/01 - 2015/10/18)
MP (2004/06/28 - 2004/08/31)
MP (1998/06/18 - 2004/06/27)
MP (1984/09/04 - 1998/06/17)
","Bécancour--Nicolet--Saurel (2015/10/19 - )
Bas-Richelieu--Nicolet--Bécancour (2004/09/01 - 2015/10/18)
Richelieu (2004/06/28 - 2004/08/31)
Bas-Richelieu--Nicolet--Bécancour (1998/06/18 - 2004/06/27)
Richelieu (1984/09/04 - 1998/06/17)
","Quebec
Quebec
Quebec
Quebec
Quebec
",M,"Bloc Québécois (2018/09/17 - )
Québec debout (2018/06/06 - 2018/09/16)
Groupe parlementaire québécois  (2018/02/28 - 2018/06/05)
Bloc Québécois (1990/12/20 - 2018/02/27)
Independent (1990/06/26 - 1990/12/19)
Progressive Conservative Party (1984/09/04 - 1990/06/25)
"
"Simms, Scott","MP (2015/10/19 - )
MP (2004/09/01 - 2015/10/18)
MP (2004/06/28 - 2004/08/31)
","Coast of Bays--Central--Notre Dame (2015/10/19 - )
Bonavista--Gander--Grand Falls--Windsor (2004/09/01 - 2015/10/18)
Bonavista--Exploits (2004/06/28 - 2004/08/31)
","Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador
",M,"Liberal Party of Canada (2004/06/28 - )
"
